userId,movieId,rating,timestamp,title,genres
1,296,5.0,1147880044,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
1,306,3.5,1147868817,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
1,307,5.0,1147868828,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
1,665,5.0,1147878820,Underground (1995),Comedy|Drama|War
1,899,3.5,1147868510,Singin' in the Rain (1952),Comedy|Musical|Romance
1,1088,4.0,1147868495,Dirty Dancing (1987),Drama|Musical|Romance
1,1175,3.5,1147868826,Delicatessen (1991),Comedy|Drama|Romance
1,1217,3.5,1147878326,Ran (1985),Drama|War
1,1237,5.0,1147868839,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama
1,1250,4.0,1147868414,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
1,1260,3.5,1147877857,M (1931),Crime|Film-Noir|Thriller
1,1653,4.0,1147868097,Gattaca (1997),Drama|Sci-Fi|Thriller
1,2011,2.5,1147868079,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi
1,2012,2.5,1147868068,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western
1,2068,2.5,1147869044,Fanny and Alexander (Fanny och Alexander) (1982),Drama|Fantasy|Mystery
1,2161,3.5,1147868609,"NeverEnding Story, The (1984)",Adventure|Children|Fantasy
1,2351,4.5,1147877957,"Nights of Cabiria (Notti di Cabiria, Le) (1957)",Drama
1,2573,4.0,1147878923,Tango (1998),Drama|Musical
1,2632,5.0,1147878248,"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)",Adventure|Drama|Mystery
1,2692,5.0,1147869100,Run Lola Run (Lola rennt) (1998),Action|Crime
1,2843,4.5,1147868891,"Black Cat, White Cat (Crna macka, beli macor) (1998)",Comedy|Romance
1,3448,4.0,1147868480,"Good Morning, Vietnam (1987)",Comedy|Drama|War
1,3569,5.0,1147879603,"Idiots, The (Idioterne) (1998)",Comedy|Drama
1,3949,5.0,1147868678,Requiem for a Dream (2000),Drama
1,4144,5.0,1147868898,In the Mood For Love (Fa yeung nin wa) (2000),Drama|Romance
1,4308,3.0,1147868534,Moulin Rouge (2001),Drama|Musical|Romance
1,4325,5.0,1147878122,"Night, The (Notte, La) (1960)",Drama
1,4422,3.0,1147869048,Cries and Whispers (Viskningar och rop) (1972),Drama
1,4703,4.0,1147869223,Chocolat (1988),Drama
1,4973,4.5,1147869080,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
1,5147,4.0,1147877654,Wild Strawberries (Smultronstället) (1957),Drama
1,5269,0.5,1147879571,"Piano Teacher, The (La pianiste) (2001)",Drama
1,5684,2.0,1147879797,Naqoyqatsi (2002),Documentary
1,5767,5.0,1147878729,Teddy Bear (Mis) (1981),Comedy|Crime
1,5878,4.0,1147868807,Talk to Her (Hable con Ella) (2002),Drama|Romance
1,5912,3.0,1147878698,Hit the Bank (Vabank) (1981),Comedy|Crime
1,5952,4.0,1147868053,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
1,6016,5.0,1147869090,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller
1,6370,4.5,1147869191,"Spanish Apartment, The (L'auberge espagnole) (2002)",Comedy|Drama|Romance
1,6377,4.0,1147868469,Finding Nemo (2003),Adventure|Animation|Children|Comedy
1,6539,3.5,1147868461,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
1,6711,5.0,1147868622,Lost in Translation (2003),Comedy|Drama|Romance
1,6954,3.5,1147869150,"Barbarian Invasions, The (Les invasions barbares) (2003)",Comedy|Crime|Drama|Mystery|Romance
1,7209,4.0,1147877986,"M. Hulot’s Holiday (Mr. Hulot's Holiday) (Vacances de Monsieur Hulot, Les) (1953)",Comedy
1,7234,4.5,1147868869,"Strada, La (1954)",Drama
1,7318,2.0,1147879850,"Passion of the Christ, The (2004)",Drama
1,7323,3.5,1147869119,"Good bye, Lenin! (2003)",Comedy|Drama
1,7327,3.5,1147868855,Persona (1966),Drama
1,7361,5.0,1147880055,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
1,7365,4.0,1147869033,Noi the Albino (Nói albinói) (2003),Drama
1,7820,2.5,1147878050,"Virgin Spring, The (Jungfrukällan) (1960)",Crime|Drama
1,7937,3.0,1147878055,"Silence, The (Tystnaden) (1963)",Drama
1,7938,2.5,1147878063,Winter Light (Nattvardsgästerna) (1963),Drama
